Instance	NumVertices	MaxNumVehicles	Capacity
C201	41	4	100
QuantMin	QuantMax	DistMin	DistMax	TimeMin	TimeMax
0	100	0	1e+10	0	3390
0	100	0	1e+10	311	471
0	100	0	1e+10	213	373
0	100	0	1e+10	1167	1327
0	100	0	1e+10	1261	1421
0	100	0	1e+10	25	185
0	100	0	1e+10	497	657
0	100	0	1e+10	1073	1233
0	100	0	1e+10	2887	3047
0	100	0	1e+10	2601	2761
0	100	0	1e+10	2791	2951
0	100	0	1e+10	2698	2858
0	100	0	1e+10	2119	2279
0	100	0	1e+10	2405	2565
0	100	0	1e+10	2026	2186
0	100	0	1e+10	2216	2376
0	100	0	1e+10	1934	2094
0	100	0	1e+10	2311	2471
0	100	0	1e+10	1742	1902
0	100	0	1e+10	1837	1997
0	100	0	1e+10	10	170
0	100	0	1e+10	2983	3143
0	100	0	1e+10	22	182
0	100	0	1e+10	1643	1803
0	100	0	1e+10	116	276
0	100	0	1e+10	2504	2664
0	100	0	1e+10	1545	1705
0	100	0	1e+10	209	369
0	100	0	1e+10	1447	1607
0	100	0	1e+10	398	558
0	100	0	1e+10	303	463
0	100	0	1e+10	781	941
0	100	0	1e+10	593	753
0	100	0	1e+10	685	845
0	100	0	1e+10	1346	1506
0	100	0	1e+10	876	1036
0	100	0	1e+10	1253	1413
0	100	0	1e+10	971	1131
0	100	0	1e+10	1063	1223
0	100	0	1e+10	1158	1318
0	100	0	1e+10	1819	1979
Quantity
0	5	15	5	5	5	10	10	10	5	5	5	10	15	5	20	20	10	10	5	5	10	10	5	5	20	5	5	10	5	5	10	15	20	10	5	5	10	15	10	5	
5	10	20	10	10	10	15	15	15	10	10	10	15	20	10	25	25	15	15	10	10	15	15	10	10	25	10	10	15	10	10	15	20	25	15	10	10	15	20	15	10	
15	20	30	20	20	20	25	25	25	20	20	20	25	30	20	35	35	25	25	20	20	25	25	20	20	35	20	20	25	20	20	25	30	35	25	20	20	25	30	25	20	
5	10	20	10	10	10	15	15	15	10	10	10	15	20	10	25	25	15	15	10	10	15	15	10	10	25	10	10	15	10	10	15	20	25	15	10	10	15	20	15	10	
5	10	20	10	10	10	15	15	15	10	10	10	15	20	10	25	25	15	15	10	10	15	15	10	10	25	10	10	15	10	10	15	20	25	15	10	10	15	20	15	10	
5	10	20	10	10	10	15	15	15	10	10	10	15	20	10	25	25	15	15	10	10	15	15	10	10	25	10	10	15	10	10	15	20	25	15	10	10	15	20	15	10	
10	15	25	15	15	15	20	20	20	15	15	15	20	25	15	30	30	20	20	15	15	20	20	15	15	30	15	15	20	15	15	20	25	30	20	15	15	20	25	20	15	
10	15	25	15	15	15	20	20	20	15	15	15	20	25	15	30	30	20	20	15	15	20	20	15	15	30	15	15	20	15	15	20	25	30	20	15	15	20	25	20	15	
10	15	25	15	15	15	20	20	20	15	15	15	20	25	15	30	30	20	20	15	15	20	20	15	15	30	15	15	20	15	15	20	25	30	20	15	15	20	25	20	15	
5	10	20	10	10	10	15	15	15	10	10	10	15	20	10	25	25	15	15	10	10	15	15	10	10	25	10	10	15	10	10	15	20	25	15	10	10	15	20	15	10	
5	10	20	10	10	10	15	15	15	10	10	10	15	20	10	25	25	15	15	10	10	15	15	10	10	25	10	10	15	10	10	15	20	25	15	10	10	15	20	15	10	
5	10	20	10	10	10	15	15	15	10	10	10	15	20	10	25	25	15	15	10	10	15	15	10	10	25	10	10	15	10	10	15	20	25	15	10	10	15	20	15	10	
10	15	25	15	15	15	20	20	20	15	15	15	20	25	15	30	30	20	20	15	15	20	20	15	15	30	15	15	20	15	15	20	25	30	20	15	15	20	25	20	15	
15	20	30	20	20	20	25	25	25	20	20	20	25	30	20	35	35	25	25	20	20	25	25	20	20	35	20	20	25	20	20	25	30	35	25	20	20	25	30	25	20	
5	10	20	10	10	10	15	15	15	10	10	10	15	20	10	25	25	15	15	10	10	15	15	10	10	25	10	10	15	10	10	15	20	25	15	10	10	15	20	15	10	
20	25	35	25	25	25	30	30	30	25	25	25	30	35	25	40	40	30	30	25	25	30	30	25	25	40	25	25	30	25	25	30	35	40	30	25	25	30	35	30	25	
20	25	35	25	25	25	30	30	30	25	25	25	30	35	25	40	40	30	30	25	25	30	30	25	25	40	25	25	30	25	25	30	35	40	30	25	25	30	35	30	25	
10	15	25	15	15	15	20	20	20	15	15	15	20	25	15	30	30	20	20	15	15	20	20	15	15	30	15	15	20	15	15	20	25	30	20	15	15	20	25	20	15	
10	15	25	15	15	15	20	20	20	15	15	15	20	25	15	30	30	20	20	15	15	20	20	15	15	30	15	15	20	15	15	20	25	30	20	15	15	20	25	20	15	
5	10	20	10	10	10	15	15	15	10	10	10	15	20	10	25	25	15	15	10	10	15	15	10	10	25	10	10	15	10	10	15	20	25	15	10	10	15	20	15	10	
5	10	20	10	10	10	15	15	15	10	10	10	15	20	10	25	25	15	15	10	10	15	15	10	10	25	10	10	15	10	10	15	20	25	15	10	10	15	20	15	10	
10	15	25	15	15	15	20	20	20	15	15	15	20	25	15	30	30	20	20	15	15	20	20	15	15	30	15	15	20	15	15	20	25	30	20	15	15	20	25	20	15	
