Instance	NumVertices	MaxNumVehicles	Capacity
RC208	51	4	100
QuantMin	QuantMax	DistMin	DistMax	TimeMin	TimeMax
0	100	0	1e+10	0	960
0	100	0	1e+10	388	911
0	100	0	1e+10	30	546
0	100	0	1e+10	353	708
0	100	0	1e+10	425	913
0	100	0	1e+10	40	630
0	100	0	1e+10	228	667
0	100	0	1e+10	161	558
0	100	0	1e+10	229	624
0	100	0	1e+10	213	648
0	100	0	1e+10	404	753
0	100	0	1e+10	33	511
0	100	0	1e+10	46	519
0	100	0	1e+10	395	911
0	100	0	1e+10	35	697
0	100	0	1e+10	39	528
0	100	0	1e+10	94	535
0	100	0	1e+10	394	909
0	100	0	1e+10	218	571
0	100	0	1e+10	85	542
0	100	0	1e+10	391	802
0	100	0	1e+10	45	517
0	100	0	1e+10	229	640
0	100	0	1e+10	45	523
0	100	0	1e+10	389	914
0	100	0	1e+10	386	904
0	100	0	1e+10	389	788
0	100	0	1e+10	57	600
0	100	0	1e+10	55	575
0	100	0	1e+10	52	536
0	100	0	1e+10	90	521
0	100	0	1e+10	50	534
0	100	0	1e+10	425	898
0	100	0	1e+10	51	602
0	100	0	1e+10	342	751
0	100	0	1e+10	410	905
0	100	0	1e+10	43	617
0	100	0	1e+10	410	823
0	100	0	1e+10	114	561
0	100	0	1e+10	36	658
0	100	0	1e+10	191	586
0	100	0	1e+10	201	670
0	100	0	1e+10	33	568
0	100	0	1e+10	429	838
0	100	0	1e+10	49	504
0	100	0	1e+10	37	597
0	100	0	1e+10	315	782
0	100	0	1e+10	38	606
0	100	0	1e+10	396	904
0	100	0	1e+10	341	658
0	100	0	1e+10	351	782
Quantity
0	10	15	5	20	10	10	10	5	10	15	20	10	5	5	10	10	10	10	20	5	5	20	15	5	10	15	10	5	5	5	10	5	5	15	10	20	5	15	5	15	10	5	10	5	5	5	5	5	5	15	
10	20	25	15	30	20	20	20	15	20	25	30	20	15	15	20	20	20	20	30	15	15	30	25	15	20	25	20	15	15	15	20	15	15	25	20	30	15	25	15	25	20	15	20	15	15	15	15	15	15	25	
15	25	30	20	35	25	25	25	20	25	30	35	25	20	20	25	25	25	25	35	20	20	35	30	20	25	30	25	20	20	20	25	20	20	30	25	35	20	30	20	30	25	20	25	20	20	20	20	20	20	30	
5	15	20	10	25	15	15	15	10	15	20	25	15	10	10	15	15	15	15	25	10	10	25	20	10	15	20	15	10	10	10	15	10	10	20	15	25	10	20	10	20	15	10	15	10	10	10	10	10	10	20	
20	30	35	25	40	30	30	30	25	30	35	40	30	25	25	30	30	30	30	40	25	25	40	35	25	30	35	30	25	25	25	30	25	25	35	30	40	25	35	25	35	30	25	30	25	25	25	25	25	25	35	
10	20	25	15	30	20	20	20	15	20	25	30	20	15	15	20	20	20	20	30	15	15	30	25	15	20	25	20	15	15	15	20	15	15	25	20	30	15	25	15	25	20	15	20	15	15	15	15	15	15	25	
10	20	25	15	30	20	20	20	15	20	25	30	20	15	15	20	20	20	20	30	15	15	30	25	15	20	25	20	15	15	15	20	15	15	25	20	30	15	25	15	25	20	15	20	15	15	15	15	15	15	25	
10	20	25	15	30	20	20	20	15	20	25	30	20	15	15	20	20	20	20	30	15	15	30	25	15	20	25	20	15	15	15	20	15	15	25	20	30	15	25	15	25	20	15	20	15	15	15	15	15	15	25	
5	15	20	10	25	15	15	15	10	15	20	25	15	10	10	15	15	15	15	25	10	10	25	20	10	15	20	15	10	10	10	15	10	10	20	15	25	10	20	10	20	15	10	15	10	10	10	10	10	10	20	
10	20	25	15	30	20	20	20	15	20	25	30	20	15	15	20	20	20	20	30	15	15	30	25	15	20	25	20	15	15	15	20	15	15	25	20	30	15	25	15	25	20	15	20	15	15	15	15	15	15	25	
